,text,video_id,comment_id,reply,parent_id
0,This isn't the question to be debating...it doesn't matter WHO the QB is under THIS coaching regime....as long as the Bears keep hiring incompetent coaching staffs....we will continue to have QB problems....everyone always laments us missing out on Mahomes....but truth be told Mahomes is who he is because he went to KC and was coached by Reid and his staff....I'd love to see how average Mahomes would be if he were coached by Nagy and then Matt Everlose and DoesntGetsy.,tcwq2k9HIbI,UgyEHavIBCG1vzPw-Ax4AaABAg,False,
1,Mahommes would be a bum in Chicago like we all know coaches are just as important as players because they are solely responsible for putting them in position to WIN,tcwq2k9HIbI,UgyEHavIBCG1vzPw-Ax4AaABAg.9xLkwe9rxfe9xLw5VGAnoS,True,UgyEHavIBCG1vzPw-Ax4AaABAg
2,Doesntgetsy 😂,tcwq2k9HIbI,UgyEHavIBCG1vzPw-Ax4AaABAg.9xLkwe9rxfe9xMCN-C4Jya,True,UgyEHavIBCG1vzPw-Ax4AaABAg
3,"Exactly bro, Justin’s not the problem. New coach and draft MH2",tcwq2k9HIbI,UgyEHavIBCG1vzPw-Ax4AaABAg.9xLkwe9rxfe9xML4avcMW3,True,UgyEHavIBCG1vzPw-Ax4AaABAg
4,"@@blkbluhu368 If you really think that, you need to stop watching football and get into synchronized swimming.  He's not the entire problem, but he's definitely part of it. He can barely get the ball to DJM and you want him to have another receiver he can't throw to??",tcwq2k9HIbI,UgyEHavIBCG1vzPw-Ax4AaABAg.9xLkwe9rxfe9xMzpOPn1p6,True,UgyEHavIBCG1vzPw-Ax4AaABAg
5,"​@@MasterZhaoThank you! People are wondering why dudes are dropping balls. Fields does not spread the ball around at all like Bagent. Notice, most WRs are involved when Bagent is playing. With Fields he keys in on the same people.",tcwq2k9HIbI,UgyEHavIBCG1vzPw-Ax4AaABAg.9xLkwe9rxfe9xN3ji0KAWl,True,UgyEHavIBCG1vzPw-Ax4AaABAg
6,"I hope that they keep Fields and get him Marvin Harrison, Jr..",tcwq2k9HIbI,UgwVDIfQ6ObP-G1RU3Z4AaABAg,False,
7,My goodness yes!!!,tcwq2k9HIbI,UgwVDIfQ6ObP-G1RU3Z4AaABAg.9xLivHFV6TZ9xM2wDe01Fx,True,UgwVDIfQ6ObP-G1RU3Z4AaABAg
8,Yeah,tcwq2k9HIbI,UgwVDIfQ6ObP-G1RU3Z4AaABAg.9xLivHFV6TZ9xN691nLK__,True,UgwVDIfQ6ObP-G1RU3Z4AaABAg
9,"Keep Fields, fire Eberflsue and Getsy, hire Harbough, draft MHj, and the left tackle.",tcwq2k9HIbI,UgyhWMw2GGpf8mgQtXJ4AaABAg,False,
10,"This!!! Not sure about Harbaugh though with the mess he’s had to deal with but I’m also keeping JF1 and if a team absolutely BLOWS ME AWAY with a trade offer for the top pick (Like Lawrence said, trade down to either 2 or 3) and then grab MHJ and then take whichever LT is remaining. Even trading down a spot or 2 we still run the risk of losing out on MHJ so that’s where it can get kinda dicey",tcwq2k9HIbI,UgyhWMw2GGpf8mgQtXJ4AaABAg.9xLj0GBFXjW9xLm2UjPDLA,True,UgyhWMw2GGpf8mgQtXJ4AaABAg
11,"Why would you assume Harbaugh would want to inherit a QB? Nagy and Flus were OK with inheriting because they were first time HCs who are realistically going to take just about anything.  Harbaugh is not a new guy. He’s a proven winner. If he wants a new guy, they are getting a new guy.",tcwq2k9HIbI,UgyhWMw2GGpf8mgQtXJ4AaABAg.9xLj0GBFXjW9xLsdtT_Cme,True,UgyhWMw2GGpf8mgQtXJ4AaABAg
12,"@@manny75586 Ok good point. I'd probably keep Fields though, if Harbough wants a new QB then he might not be my coach",tcwq2k9HIbI,UgyhWMw2GGpf8mgQtXJ4AaABAg.9xLj0GBFXjW9xLtfTcqKGV,True,UgyhWMw2GGpf8mgQtXJ4AaABAg
13,Harbaugh and Poles may not work well together. 2 big ego's.,tcwq2k9HIbI,UgyhWMw2GGpf8mgQtXJ4AaABAg.9xLj0GBFXjW9xLueXTChCV,True,UgyhWMw2GGpf8mgQtXJ4AaABAg
14,I approve this message,tcwq2k9HIbI,UgyhWMw2GGpf8mgQtXJ4AaABAg.9xLj0GBFXjW9xMLVlcvmXd,True,UgyhWMw2GGpf8mgQtXJ4AaABAg
15,Fields has one career 300 yard passing game in almost three seasons. This insistence he’s somehow amazing is nonsense.,tcwq2k9HIbI,UgzrhKIoauUETBbOVz94AaABAg,False,
16,I agree. Plus only 6 wins in three years stands out most.,tcwq2k9HIbI,UgzrhKIoauUETBbOVz94AaABAg.9xM67URWQS_9xMZEO2zi52,True,UgzrhKIoauUETBbOVz94AaABAg
