,id,date,title,tags,views,comments,likes
0,tcwq2k9HIbI,2023-11-20T18:40:08Z,Will Justin Fields be the Bears' QB1 in 2024? | Bernstein & Holmes,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Justin Fields', 'Caleb Williams', 'Drake Maye', 'Bears quarterback', 'Ian Rapoport', 'Bears QB', 'Bears', 'Ryan Poles']",20132,320,333
1,7XpFliKNMiw,2023-11-20T21:34:46Z,Kurt Warner breaks down Justin Fields' return against the Lions | Parkins & Spiegel,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Justin Fields', 'Kurt Warner', 'Kurt Warner Fields', 'Fields break down', 'Bears QB', 'Bears quarterback', 'Luke Getsy', 'Bears Lions']",22050,372,332
2,f38d16MhD1w,2023-11-21T22:17:29Z,Chase Daniel: Justin Fields played best game of his NFL career in loss to Lions  | Parkins & Spiegel,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Justin Fields', 'Fields break down', 'Bears Lions', 'Chase Daniel', 'Fields', 'Bears', 'quarterback analysis', 'Luke Getsy', 'Chase Daniel Fields']",15724,170,347
3,RO1OiAaaFhQ,2023-11-28T14:21:56Z,Olin Kreutz fired up by Bears' win even as Justin Fields' future remains uncertain | Mully & Haugh,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy']",20466,188,432
4,8V0dXnzP4J4,2023-11-28T21:34:25Z,"Kurt Warner breaks down Justin Fields' performance on MNF, future as Bears QB1 | Parkins & Spiegel","['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Justin Fields', 'Kurt Warner', 'Bears Vikings', 'Bears MNF', 'Monday Night Football', 'Ryan Poles', 'Luke Getsy', 'Fields analysis', 'Bears quarterback', 'Bears QB']",34484,256,416
5,fwN7LYBSRQQ,2023-11-29T22:11:36Z,Chase Daniel believes Justin Fields should be Bears' QB1 in 2024 | Parkins & Spiegel,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Justin Fields', 'Bears-Vikings', 'Chase Daniel', 'Luke Getsy', 'Bears quarterback', 'Chase Daniel Fields', 'Fields break down', 'quarterback break down', 'Monday Night football', 'MNF']",32708,373,586
6,fuZdJSx0ZIY,2023-11-30T23:14:11Z,"Troy Aikman talks Justin Fields, play-calling, Bears' future and more | Parkins & Spiegel","['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy']",87199,389,1048
7,dibVwEikwLk,2023-12-04T14:16:35Z,Olin Kreutz: Bears players and coaches are fighting for their jobs | Mully & Haugh,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy']",18838,143,307
8,PH6ayolC1bA,2023-12-08T18:28:01Z,Did Luke Getsy throw his Bears players under the bus? | Bernstein & Holmes,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Luke Getsy', 'Justin Fields', 'Mark Grote', 'Bears offense', 'Bears play-calling', 'Bears Vikings', 'Getsy', 'Bears', 'NFL offense', 'Bears plays']",30096,522,434
9,9g0F2bRlKlQ,2023-12-11T21:40:29Z,Kurt Warner breaks down Justin Fields' efficient game in Bears' win over Lions | Parkins & Spiegel,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy']",37571,343,624
10,dk8C1p8Ytxg,2023-12-12T20:38:46Z,Tim Jenkins dives deep into Justin Fields' tape against the Lions | Bernstein & Holmes,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Tim Jenkins', 'Justin Fields', 'Luke Getsy', 'Fields break down', 'Justin Fields tape', 'quarterback', 'QB analysis', 'Tim Jenkins Fields', 'Bears offense', 'Bears', 'Bears Lions']",22633,146,435
11,mb2v73pMG5g,2023-12-12T23:04:01Z,Chase Daniel impressed with Justin Fields' continued success against the Lions | Parkins & Spiegel,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Chase Daniel', 'Justin Fields', 'Chase Daniel Fields', 'bears quarterback', 'Bears Lions', 'Fields break down', 'Bears', 'bears offense', 'bear down', 'Parkins & Spiegel']",16688,109,342
12,mnVZTz6Z-Qs,2023-12-15T18:18:38Z,7 NFL GMs decide between Justin Fields & Caleb Williams | Parkins & Spiegel,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Justin Fields', 'Caleb Williams', 'Ryan Poles', 'Charles Robinson article', 'Charles Robinson', 'Justin Fields trade', 'NFL GM', 'NFL draft', 'Bears quarterback', 'Bears QB']",26977,528,316
13,OLbs0x9O-N0,2023-12-18T19:12:40Z,Who's to blame for Bears' offensive struggles in loss to Browns? | Bernstein & Holmes,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Luke Getsy', 'Bears offense', 'Justin Fields', 'Dan Wiederer', 'Bears Browns', 'Bears lose', 'Fields Getsy', 'Bears OC', 'offensive coordinator']",22016,626,395
14,dpx-MOdyy88,2023-12-18T21:52:17Z,Kurt Warner breaks down Justin Fields' frustrating performance in loss to Browns | Parkins & Spiegel,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Kurt Warner', 'Justin Fields', 'Bears offense', 'bears quarterback', 'Fields break down', 'Warner Fields', 'Kurt Warner Fields', 'qb analysis', 'Luke Getsy', 'Parkins & Spiegel', 'Bears Browns', 'week 15 nfl']",27615,264,427
15,bcKI94cJRWs,2023-12-19T14:00:32Z,Bears' Jaylon Johnson gets real about Justin Fields | Parkins & Spiegel,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'Jaylon Johnson', 'nfl', 'football', 'Bears defense', 'Justin Fields', 'nfl draft', 'Matt Eberflus', 'cornerback', 'Cedric Tillman', 'Amari Cooper', 'Bears', 'Bears Browns']",36442,279,626
16,Q_pI-Q-83lA,2023-12-26T20:09:14Z,Tim Jenkins breaks down Justin Fields' tape against Cardinals & future in NFL | Bernstein & Holmes,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Tim Jenkins', 'Justin Fields', 'Bears Cardinals', 'Fields break down', 'Tim Jenkins Fields', 'Bears quarterback', 'Bears offense', 'Luke Getsy']",22899,212,396
17,UfrHSkPBxVw,2023-12-27T14:54:39Z,"Olin Kreutz: Ryan Poles, Bears have big decisions to make this offseason | Mully & Haugh","['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy']",25803,232,466
18,8FQLZYJhzfw,2023-12-28T19:45:38Z,Laurence challenges Caleb Williams supporters | Bernstein & Holmes,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Caleb Williams', 'NFL draft', 'USC', 'CFB', 'college football', 'Ryan Poles', 'Bears draft', 'Bears QB', 'quarterback', 'Justin Fields', 'Jalen Hurts', 'Brock Purdy', 'Dak Prescott']",56146,789,1314
19,950yrCCeL9g,2023-12-31T22:21:26Z,"REACTION: Bears rout Falcons, also secure No. 1 overall pick in 2024 NFL Draft | 2023 Bears postgame","['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Bears postgame', 'Bears Falcons', 'Week 17 nfl', 'nfl matchup', 'Justin Fields', 'nfl draft', 'Bears', 'Bear down', 'Bears win', 'Kahlil Herbert']",39795,449,624
20,4qPZsleihJY,2024-01-02T14:45:01Z,DJ Moore is proud of how his connection with Justin Fields has grown | Mully & Haugh,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'DJ Moore', 'Justin Fields', 'Bears Falcons', 'Bears', 'Bears WR', 'Pro Bowl', 'Bears Packers']",19321,149,412
21,y-iqtoYDtsc,2024-01-02T21:06:09Z,Justin Fields & NFL hypocrisy | Bernstein & Holmes,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy']",37911,320,942
22,0_9D_0b9V0E,2024-01-03T00:08:31Z,Kurt Warner evaluates Justin Fields' impressive performance in win over Falcons | Parkins & Spiegel,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy']",27225,386,404
23,rcx9Dt-2zPo,2024-01-08T21:52:59Z,Kurt Warner details how Bears should navigate the offseason | Parkins & Spiegel,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Justin Fields', 'Kurt Warner', 'Bears offseason', 'Bears', 'Bears quarterback', 'quarterback', 'Warner Justin Fields']",42198,379,467
24,OBRS-VQALaQ,2024-01-09T22:26:37Z,Chase Daniel: Bears need to stick with Justin Fields | Parkins & Spiegel,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Justin Fields', 'Chase Daniel', 'Bears', 'Fields tape', 'Bears offense']",32904,534,589
25,W9LRZ38QBUQ,2024-01-11T22:11:10Z,Boomer Esiason would be 'very surprised' if Bears pass on Caleb Williams | Parkins & Spiegel,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'nfl draft', '2024 nfl draft', 'Boomer Esiason', 'Caleb Williams', 'Bears QB', 'quarterback', 'Bears draft', 'Justin Fields', 'Bears OC', 'Boomer Caleb Williams', 'USC']",35640,480,418
26,LNkBoEnnTzU,2024-01-17T20:48:13Z,Josh Lucas evaluates QB class in 2024 NFL Draft | Bernstein & Holmes,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Josh Lucas', 'Caleb Williams', 'Drake Maye', 'Bo Nix', 'Michael Penix Jr.', 'J.J. McCarthy', '2024 NFL draft', '2024 QB class', 'NFL draft quarterbacks', 'Bears', 'Bears quarterback', 'nfl draft']",31849,329,444
27,ONuMmdeoGBI,2024-01-19T23:29:25Z,Getting to know Caleb Williams with his high school coach | Parkins & Spiegel,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Caleb Williams', ""Caleb Williams' coach"", 'nfl draft', 'USC', 'Gonzaga college high school', 'Randy Trivers', 'Bears qb', 'Bears draft']",7953,116,144
28,aJwheUP_pK4,2024-01-24T19:33:24Z,"Daniel Jeremiah talks Caleb Williams, best WR, center options in 2024 NFL Draft","['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy']",21042,178,289
29,15oN-0Fm5LI,2024-01-26T00:28:56Z,Are the Bears better off drafting a QB or building around Justin Fields? | Parkins & Spiegel,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy']",31501,681,515
30,mxuXYUYrkxY,2024-01-30T19:07:53Z,Why we shouldn't always trust NFL Draft analysts | Bernstein & Holmes,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'football', 'nfl', 'nfl draft', 'Patrick Mahomes', '2017 draft', '2017 nfl draft', 'draft analysts', 'Mitch Trubisky', 'DeShaun Watson', 'Bears draft', 'quarterback list', 'quarterback rankings', 'football draft', 'Ryan Pace', 'Ryan Poles', 'Caleb Williams']",36825,672,908
31,PJRCMIHlxSE,2024-02-02T00:05:25Z,Colin Cowherd suggests Caleb Williams doesn't want to play for Bears | Parkins & Spiegel,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Colin Cowherd', 'Caleb Williams', 'nfl draft', 'Bears draft', 'Washington Commanders', 'USC', 'Bears', 'quarterback', 'Caleb Williams rumor']",38677,859,661
32,jjqd_ASsYF4,2024-02-02T23:16:10Z,Colin Cowherd: Caleb Williams will play for Bears if they draft him | Parkins & Spiegel,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Colin Cowherd', 'Cowherd interview', 'Caleb Williams', 'Cowherd Caleb Williams', 'Chicago Bears', 'nfl', 'football', 'nfl draft', 'bears draft', 'USC']",43681,441,701
33,jOH1PRAdNnU,2024-02-12T22:43:54Z,Danny Parkins is driving the Caleb Williams-to-Bears bandwagon | Parkins & Spiegel,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Caleb Williams', 'NFL draft', 'Bears', 'Bears QB', 'Caleb Williams jersey', 'Parkins & Spiegel', 'Poles Position']",15856,392,316
34,ZxuWckWwtgs,2024-02-16T22:10:41Z,What's Justin Fields' trade value? | Parkins & Spiegel,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Justin Fields', 'Poles Position', 'Fields trade', 'trade rumors', 'nfl rumors', 'nfl draft', 'Steelers', 'Patriots', 'Commanders', 'Falcons', 'Broncos', 'Ryan Poles', 'Bears quarterback', 'Bears trade']",15997,262,242
35,INWjshA8ago,2024-02-26T21:54:43Z,Merril Hoge expands on his comment that Caleb Williams is 'not special' | 2024 Bears,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Merril Hoge', 'Caleb Williams', 'Caleb Williams is not special', 'Merril Hoge Williams', 'Merril Hoge draft grade', '2024 nfl draft', 'nfl draft', 'Drake Maye', 'Jayden Daniels', 'Merril Hoge Caleb Williams', 'Scouting Caleb Williams', 'nfl draft report', 'quarterback', 'Caleb Williams scouting report']",33263,307,444
36,ubup1ZkfDNM,2024-02-26T22:19:28Z,Could trading down from No. 1 overall be a dynamite option for Bears? | Parkins & Spiegel,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Caleb Williams', 'Justin Fields', 'Ryan Poles', 'Bears trade', 'nfl draft', 'Poles Position', 'Peter King']",17290,294,305
37,eUzW2hV7NUE,2024-02-29T20:12:14Z,Bernstein & Holmes rip media over inconsistent evaluation of QBs in 2024 draft class,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Jayden Daniels', 'Caleb Williams', 'Dan Orlovsky', 'nfl draft', '2024 nfl draft', 'Bears draft', 'Ryan Poles', 'quarterback rankings', 'Orlovsky Daniels', 'Bernstein & Holmes', 'draft hype', 'draft rankings', 'Bears', 'Bears qb']",21717,256,482
38,qEbC04yMftE,2024-03-18T13:52:03Z,Brad Biggs breaks down Bears' trade of Justin Fields to Steelers | Mully & Haugh,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy']",12009,201,239
39,mMSL0wYEoFY,2024-03-18T17:19:36Z,Why Ryan Poles 'doing right' by Justin Fields is the mark of a good GM | Bernstein & Holmes,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy']",18821,251,370
40,9WjOqi_OUps,2024-04-10T20:45:26Z,Booger McFarland shares his dream scenario for Bears in NFL Draft | Parkins & Spiegel,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Booger McFarland', 'nfl draft', 'Ryan Poles', 'Poles Position', 'Bears', 'Rome Odunze', 'Jayden Daniels', 'Malik Nabers', 'Booger draft', 'draft coverage', 'Bears draft', '2024 nfl draft']",26815,76,347
